2001 10
0.999687 168.750641 11.033626
1.000566 168.750381 11.032863
1.001155 168.750214 11.032311
1.001564 168.750061 11.031892
1.001903 168.749908 11.031522
1.002216 168.749771 11.031174
1.002516 168.749634 11.030834
1.002810 168.749512 11.030499
1.003100 168.749359 11.030167
1.003389 168.749252 11.029837
1.003675 168.749115 11.029509
1.003959 168.748978 11.029181
1.004243 168.748840 11.028854
1.004524 168.748688 11.028530
1.004804 168.748550 11.028206
1.005082 168.748413 11.027882
1.005360 168.748260 11.027557
1.005636 168.748123 11.027233
1.005911 168.747971 11.026911
1.006185 168.747833 11.026588
1.006458 168.747696 11.026268
1.006730 168.747543 11.025948
1.007001 168.747391 11.025627
1.007271 168.747238 11.025309
1.007540 168.747101 11.024990
1.007809 168.746948 11.024672
1.008077 168.746796 11.024353
1.008344 168.746658 11.024036
1.008611 168.746506 11.023720
1.008876 168.746353 11.023405
1.009142 168.746201 11.023088
1.009406 168.746048 11.022773
1.009670 168.745895 11.022458
1.009934 168.745743 11.022143
1.010197 168.745605 11.021831
1.010459 168.745453 11.021519
1.010721 168.745300 11.021206
1.010982 168.745148 11.020894
1.011243 168.744995 11.020582
1.011503 168.744843 11.020271
1.011762 168.744690 11.019962
1.012021 168.744537 11.019653
1.012280 168.744385 11.019344
1.012538 168.744232 11.019035
1.012795 168.744080 11.018727
1.013053 168.743912 11.018421
1.013309 168.743759 11.018114
1.013565 168.743607 11.017808
1.013820 168.743454 11.017502
1.014075 168.743301 11.017197
1.014329 168.743149 11.016891
1.014583 168.742996 11.016586
1.014836 168.742828 11.016283
1.015089 168.742676 11.015981
1.015341 168.742523 11.015678
1.015593 168.742355 11.015377
1.015844 168.742203 11.015076
1.016094 168.742035 11.014776
1.016345 168.741882 11.014475
1.016594 168.741730 11.014175
1.016843 168.741562 11.013877
1.017091 168.741394 11.013578
1.017339 168.741241 11.013279
1.017586 168.741074 11.012981
1.017833 168.740921 11.012686
1.018079 168.740753 11.012388
1.018324 168.740585 11.012093
1.018569 168.740433 11.011797
1.018813 168.740280 11.011501
1.019057 168.740112 11.011208
1.019300 168.739944 11.010913
1.019543 168.739792 11.010620
1.019785 168.739624 11.010327
1.020026 168.739471 11.010035
1.020267 168.739304 11.009743
1.020508 168.739151 11.009453
1.020747 168.738983 11.009162
1.020986 168.738815 11.008871
1.021225 168.738663 11.008581
1.021463 168.738495 11.008293
1.021700 168.738342 11.008004
1.021937 168.738174 11.007715
1.022173 168.738007 11.007427
1.022408 168.737839 11.007141
1.022643 168.737671 11.006854
1.022878 168.737518 11.006568
1.023111 168.737350 11.006282
1.023345 168.737183 11.005996
1.023577 168.737030 11.005711
1.023809 168.736862 11.005424
1.024040 168.736694 11.005141
1.024271 168.736542 11.004858
1.024502 168.736389 11.004575
1.024731 168.736206 11.004292
1.024960 168.736053 11.004009
1.025189 168.735886 11.003729
1.025416 168.735718 11.003448
1.025644 168.735550 11.003166
1.025870 168.735397 11.002887
1.026096 168.735229 11.002605
1.026322 168.735062 11.002326
1.026546 168.734894 11.002047
1.026771 168.734741 11.001768
1.026995 168.734573 11.001491
1.027218 168.734406 11.001213
1.027440 168.734253 11.000937
1.027662 168.734085 11.000660
1.027884 168.733902 11.000383
1.028104 168.733749 11.000107
1.028325 168.733582 10.999830
1.028544 168.733414 10.999555
1.028763 168.733246 10.999281
1.028982 168.733078 10.999006
1.029200 168.732925 10.998733
1.029417 168.732742 10.998460
1.029634 168.732590 10.998188
1.029850 168.732422 10.997915
1.030066 168.732269 10.997643
1.030280 168.732086 10.997370
1.030495 168.731934 10.997098
1.030709 168.731766 10.996826
1.030922 168.731613 10.996555
1.031135 168.731445 10.996285
